"message_id","user_id","user_is_bot","user_first_name","chat_id","chat_type","text","date","context_date"
"48","6858689959","false","Layssa","-1001957682061","supergroup","Oi gente","1705271278","2024-01-14"
"49","6858689959","false","Layssa","-1001957682061","supergroup","Tou bem melhor","1705271286","2024-01-14"
"50","6858689959","false","Layssa","-1001957682061","supergroup","Meu paladar e olfato voltaram","1705271304","2024-01-14"
"42","1384041747","false","Kayrton","-1001957682061","supergroup","vou precisar refazer tudo no instragam, vou precisar da tua ajuda.","1704908463","2024-01-10"
"39","1384041747","false","Kayrton","-1001957682061","supergroup","se prepare pra correr na praia","1704809807","2024-01-09"
"40","6858689959","false","Layssa","-1001957682061","supergroup","Minha garganta tá querendo doer","1704811243","2024-01-09"
"41","6858689959","false","Layssa","-1001957682061","supergroup","Terminei as candidaturas da semana","1704822881","2024-01-09"
"8","6858689959","false","Layssa","-1001957682061","supergroup",,"1703790464","2023-12-28"
"21","6858689959","false","Layssa","-1001957682061","supergroup","Eai gente","1704670944","2024-01-07"
"22","6858689959","false","Layssa","-1001957682061","supergroup","Descansei bastante","1704670952","2024-01-07"
